Category	ColumnName	Description	Values	VariableType
Demographic	SAMPLE_ID	Patient identifier		character
Demographic	PreviousPositiveBiopsy	Previous Positive Biopsy?	"0:No,1:Yes"	categorical
Demographic	Age	Age (in years) at enrollment		numeric
Demographic	EthnicityLatino	Is hispanic latino? 	"0:No,1:Yes,2:Unknown"	categorical
Demographic	Ethnicity	Self-reported ethnicity	"0:Refused,1:White/Caucasian,2:Black/African American,4:Asian,8:Native Hawaiian/Pacific Islander,16:American indian/Alaskan Native,32:Other,64:Unknown"	categorical
Demographic	EthnicityOtherDesc	"If Ethnicity listed as ""Other"", description of what that is"		character
Demographic	Employment	Employment 	"0:Refused,1:Work full-time,2:Work part-time,3:Work and go to school,4:In the armed forces,5:Unemployed/laid off/looking for work,6:Retired,7:School full-time,8:Home-maker,9:Disabled,10:Other"	categorical
Demographic	EmploymentOtherDesc	"If Employment listed as ""Other"", description of what that is"		character
Demographic	Education	Education 	"0:Refused,1:Grade school or less,2:Some high school or technical school,3:High school or technical school graduate,4:Some college,5:College graduate,6:Graduate or professional school after college"	categorical
Demographic	SmokingEver	Ever smoked?	"0:No,1:Yes,2:Unknown"	categorical
Demographic	SmokingCurrently	Currently smoking?	"0:No,1:Yes,2:Unknown"	categorical
Demographic	AgeQuitSmoking	Age (in years) when quit smoking		numeric
Demographic	AgeStartSmoking	Age (in years) when started smoking		numeric
Demographic	SmokingNumber	Number of cigarettes per day		numeric
Cancer History	FamilyHistoryPrCa	Does the patient have a family history of Prostate Cancer	"0:No,1:Yes,2:Unknown"	categorical
Cancer History	FirstDegreePrCa	How many 1st degree relatives were diagnosed with Prostate Cancer?		numeric
Cancer History	SecondDegreePrCa	How many 2nd degree relatives were diagnosed with Prostate Cancer?		numeric
Cancer History	FamilyDiedPrCa	Did any patient's family member die of Prostate Cancer?	"0:No,1:Yes,2:Unknown"	categorical
Cancer History	FirstDegreeDiedPrCa	How many 1st degree relatives died of Prostate Cancer?		numeric
Cancer History	SecondDegreeDiedPrCa	How many 2nd degree relatives died of Prostate Cancer?		numeric
Cancer History	PreviousCancer	Was the patient ever diagnosed with cancer?	"0:No,1:Yes,2:Unknown"	categorical
Cancer History	PreviousCancerSite	List of previously diagnosed cancers		character
Medical History/Comorbidities	Arthritis	Does the patient suffer from arthritis or rheumatism?	"0:No,1:Yes,2:Unknown"	categorical
Medical History/Comorbidities	Diabetes	Does the patient suffer from diabetes or high blood sugar or high urine sugar?	"0:No,1:Yes,2:Unknown"	categorical
Medical History/Comorbidities	IBD	Does the patient suffer from inflammatory bowel disease or colitis or crohn's disease?	"0:No,1:Yes,2:Unknown"	categorical
Medical History/Comorbidities	Ulcer	Does the patient suffer from bleeding from stomach ulcers?	"0:No,1:Yes,2:Unknown"	categorical
Medical History/Comorbidities	ChronicLungDisease	Does the patient suffer from lung disease or bronchitis or emphysema?	"0:No,1:Yes,2:Unknown"	categorical
Medical History/Comorbidities	HeartFailure	Heart failure or congestive heart failure 	"0:No,1:Yes,2:Unknown"	categorical
Medical History/Comorbidities	Stroke	Stroke or Brain hemorrhage	"0:No,1:Yes,2:Unknown"	categorical
Medical History/Comorbidities	Hypertension	High Blood Pressure 	"0:No,1:Yes,2:Unknown"	categorical
Medical History/Comorbidities	HeartAttack	Heart Attac or Myocardial Infarction	"0:No,1:Yes,2:Unknown"	categorical
Medical History/Comorbidities	Angina	Chest pain or Angina	"0:No,1:Yes,2:Unknown"	categorical
Medical History/Comorbidities	Cirrhosis	Liver Disease or Cirrhosis	"0:No,1:Yes,2:Unknown"	categorical
Medical History/Comorbidities	Depression	Depression or Anxiety	"0:No,1:Yes,2:Unknown"	categorical
Pre-Biopsy Clinical Data	Height	Height (inches)	99:Unknown	numeric
Pre-Biopsy Clinical Data	Weight	Weight (pounds)	999:Unknown	numeric
Pre-Biopsy Clinical Data	AUAscore	AUA Score	99:Unknown	numeric
Pre-Biopsy Clinical Data	AUAqol	AUA QOL 	"1:Delighted,2:Pleased,3:Mostly satisfied,4:Mixed,5:Mostly dissatisfied,6:Unhappy,7:Terrible,8:Unknown"	categorical
Pre-Biopsy Clinical Data	RisingPSA	Rising PSA	"0:No,1:Yes"	categorical
Pre-Biopsy Clinical Data	ElevatedPSA	Elevated PSA	"0:No,1:Yes"	categorical
Pre-Biopsy Clinical Data	PercFreePSA	Low % free PSA	"0:No,1:Yes"	categorical
Pre-Biopsy Clinical Data	AbnormDRE	Abnormal Digital Rectal Exam	"0:No,1:Yes"	categorical
Pre-Biopsy Clinical Data	AbnormBiopsy	Abnormal biopsy	"0:No,1:Yes"	categorical
Pre-Biopsy Clinical Data	HGPIN	High Grade PIN	"0:No,1:Yes"	categorical
Pre-Biopsy Clinical Data	Atypia	Atypia	"0:No,1:Yes"	categorical
Pre-Biopsy Clinical Data	ASAP	Atypical Small Arcinar Prioliferation	"0:No,1:Yes"	categorical
Pre-Biopsy Clinical Data	FamilyHistory	Family history	"0:No,1:Yes"	categorical
Pre-Biopsy Clinical Data	IndexOther	Other	"0:No,1:Yes"	categorical
Pre-Biopsy Clinical Data	IndexOtherDesc	Other (Specify)		character
Pre-Biopsy Clinical Data	PreBioPSA	Pre-biopsy PSA		numeric
Pre-Biopsy Clinical Data	PreBioPSADate	"Pre-biopsy PSA date (relative to date of biopsy, in days)"		date
Pre-Biopsy Clinical Data	PreBioPercFreePSA	Pre-biopsy % free PSA		numeric
Pre-Biopsy Clinical Data	PreBioPercFreePSADate	"Pre-biopsy % free PSA date (relative to date of biopsy, in days)"		date
Pre-Biopsy Clinical Data	PSAval_1	PSA measured on Date 1		numeric
Pre-Biopsy Clinical Data	PSAval_2	PSA measured on Date 2		numeric
Pre-Biopsy Clinical Data	PSAval_3	PSA measured on Date 3		numeric
Pre-Biopsy Clinical Data	PSAval_4	PSA measured on Date 4		numeric
Pre-Biopsy Clinical Data	PSAval_5	PSA measured on Date 5		numeric
Pre-Biopsy Clinical Data	PSAval_6	PSA measured on Date 6		numeric
Pre-Biopsy Clinical Data	PSAval_7	PSA measured on Date 7		numeric
Pre-Biopsy Clinical Data	PSAval_8	PSA measured on Date 8		numeric
Pre-Biopsy Clinical Data	PSAval_9	PSA measured on Date 9		numeric
Pre-Biopsy Clinical Data	PSAval_10	PSA measured on Date 10		numeric
Pre-Biopsy Clinical Data	PSADate_1	"Date 1 (relative to date of biopsy, in days) of PSA measurement"		date
Pre-Biopsy Clinical Data	PSADate_2	"Date 2 (relative to date of biopsy, in days) of PSA measurement"		date
Pre-Biopsy Clinical Data	PSADate_3	"Date 3 (relative to date of biopsy, in days) of PSA measurement"		date
Pre-Biopsy Clinical Data	PSADate_4	"Date 4 (relative to date of biopsy, in days) of PSA measurement"		date
Pre-Biopsy Clinical Data	PSADate_5	"Date 5 (relative to date of biopsy, in days) of PSA measurement"		date
Pre-Biopsy Clinical Data	PSADate_6	"Date 6 (relative to date of biopsy, in days) of PSA measurement"		date
Pre-Biopsy Clinical Data	PSADate_7	"Date 7 (relative to date of biopsy, in days) of PSA measurement"		date
Pre-Biopsy Clinical Data	PSADate_8	"Date 8 (relative to date of biopsy, in days) of PSA measurement"		date
Pre-Biopsy Clinical Data	PSADate_9	"Date 9 (relative to date of biopsy, in days) of PSA measurement"		date
Pre-Biopsy Clinical Data	PSADate_10	"Date 10 (relative to date of biopsy, in days) of PSA measurement"		date
Pre-Biopsy Clinical Data	DREDate	"DRE date (relative to date of biopsy, in days)"		date
Pre-Biopsy Clinical Data	DREresults	DRE results 	"1:normal,2:enlarged/benign,3:Enlarged/Asymmetry,4:Abnormal,5:Unknown/Refused"	categorical
Pre-Biopsy Clinical Data	DREnodularity	Amount of indulation or nodularity on DRE	"1:<50% right,2:>=50% right,3:<50% left,4:>=50%,5:Bilateral,6:Abnormal DRE but extent not specified,7:Other,8:None"	categorical
Pre-Biopsy Clinical Data	DREnodularityOtherDesc	Amount Other (Specify)		character
Prostate-Related Conditions	BPH	BPH/Hypertrophy? 	"0:No,1:Yes"	categorical
Prostate-Related Conditions	BPHDrug	BPH/Hypertrophy Med?	"0:No,1:Yes"	categorical
Prostate-Related Conditions	Prostatitis	Prostatitis? 	"0:No,1:Yes"	categorical
Prostate-Related Conditions	ProstatitisDrug	Prostatitis Medications? 	"0:No,1:Yes"	categorical
Prostate-Related Conditions	Urethritis	Urethritis?	"0:No,1:Yes"	categorical
Prostate-Related Conditions	UrethritisDrug	Urethritis Medications? 	"0:No,1:Yes"	categorical
Prostate-Related Conditions	UrinaryInfection	Other Urinary Infection? 	"0:No,1:Yes"	categorical
Prostate-Related Conditions	UrinaryInfectionDrug	Other Urinary Infection Medications? 	"0:No,1:Yes"	categorical
Prostate-Related Conditions	Hematuria	Hematuria?	"0:No,1:Yes"	categorical
Prostate-Related Conditions	HematuriaDrug	Hematuria Medications? 	"0:No,1:Yes"	categorical
Past Surgical History	PrProcedure	Any procedures for prostate problems?	"0:No,1:Yes,2:Unknown"	categorical
Past Surgical History	TURP	TransUrethral Resection of the Prostate?	"0:No,1:Yes"	categorical
Past Surgical History	TUIP	TransUrethral Incision of the Prostate?	"0:No,1:Yes"	categorical
Past Surgical History	Laser	Laser treatment for the prostate?	"0:No,1:Yes"	categorical
Past Surgical History	Microwave	Microwave treatment for the prostate (e.g. TUNA or TUMT)?	"0:No,1:Yes"	categorical
Past Surgical History	Baloon	Ballon dilation of the prostate?	"0:No,1:Yes"	categorical
Past Surgical History	ProcedureOther	Other?	"0:No,1:Yes"	categorical
Past Surgical History	ProcedureOtherDesc	Other Description?		character
Past Surgical History	PrevBiopsy	Ever had Prostate biopsy?	"0:No,1:Yes"	categorical
Past Surgical History	PrevBiopsyNumber	How many prior biopsies?		numeric
Prostate-Related Medications	PrDrug1	Ever taken 5-alpha reductase inhibitors (e.g. Avodart or Proscar)?	"0:No,1:Yes"	categorical
Prostate-Related Medications	PrDrug2	Ever taken Alpha-blockers?	"0:No,1:Yes"	categorical
Prostate-Related Medications	PrDrug3	Ever takenAnti-cholinergics?	"0:No,1:Yes"	categorical
Prostate-Related Medications	PrDrug4	Ever taken Androgens?	"0:No,1:Yes"	categorical
Prostate-Related Medications	PrDrug5	Ever taken Saw Palmetto?	"0:No,1:Yes"	categorical
Prostate-Related Medications	PrDrug6	Ever taken other medications for prostate conditions?	"0:No,1:Yes"	categorical
Prostate-Related Medications	PrDrugNone	No medication taken?	"0:No,1:Yes"	categorical
Prostate-Related Medications	PrDrugOtherDesc	Other prostate or genitourinary medications		character
Prostate-Related Medications	PrDrugTime	Last taken prostate medication	1:within the past 1 month;2:More than 1 month ago	categorical
Prostate-Related Medications	PrDrugDuration	Total months prostate medication taken 	99:Unknown	numeric
Biopsy Procedure Details	PrSize	Prostate size (cc) 	9999:Unknown	numeric
Biopsy Procedure Details	AbnormFoci	Hypoechoic or Suspicious foci? 	"0:No,1:Yes,2:Unknown"	categorical
Biopsy Procedure Details	BiopsyDate	"Date of Biopsy (reference date, 0 for all patients)"		date
Biopsy Procedure Details	BiopsyCoreLeft	Number of left cores taken		numeric
Biopsy Procedure Details	BiopsyCoreRight	Number of right cores taken		numeric
Biopsy Procedure Details	BiopsyCoreOtherDesc	Number of other cores taken		numeric
Biopsy Procedure Details	BiopsyComments	Comments		character
Prostate Cancer Diagnosis	Diagnosis	Prostate Cancer diagnosis	"0:No,1:Yes"	categorical
Prostate Cancer Diagnosis	BiopsyCoreLeft2	Number of left cores involved		numeric
Prostate Cancer Diagnosis	BiopsyCoreRight2	Number of right cores involved		numeric
Prostate Cancer Diagnosis	BiopsyCoreTZ2	Number of transitional zone cores involved		numeric
Prostate Cancer Diagnosis	BiopsyCoreOther2	Other cores involved		numeric
Prostate Cancer Diagnosis	BiopsyCoreOtherDesc2	Other (Specify)		character
Prostate Cancer Diagnosis	GleasonPrimary	Primary Gleason Grade		numeric
Prostate Cancer Diagnosis	GleasonSecondary	Secondary Gleason Grade		numeric
Prostate Cancer Diagnosis	GleasonTotal	Overall Gleason Grade		numeric
Prostate Cancer Diagnosis	BiopsyComments2	Comments (e.g. unusual histology or treatment effect)		character
Prostate Cancer Diagnosis	Tstage	T-stage		categorical
Prostate Cancer Diagnosis	Nstage	N-stage		categorical
Prostate Cancer Diagnosis	Mstage	M-stage		categorical
Per Core Cancer Reporting	CoreLetter_1	Core 1 Letter		character
Per Core Cancer Reporting	CoreLetter_2	Core 2 Letter		character
Per Core Cancer Reporting	CoreLetter_3	Core 3 Letter		character
Per Core Cancer Reporting	CoreLetter_4	Core 4 Letter		character
Per Core Cancer Reporting	CoreLetter_5	Core 5 Letter		character
Per Core Cancer Reporting	CoreLetter_6	Core 6 Letter		character
Per Core Cancer Reporting	CoreLetter_7	Core 7 Letter		character
Per Core Cancer Reporting	CoreLetter_8	Core 8 Letter		character
