CHEM_ID	LIB_ID	COMP_ID	CHRO_LIB_ENTRY_ID	SUPER_PATHWAY	SUB_PATHWAY	PATHWAY_SORTORDER	TYPE	INCHIKEY	SMILES	CHEMICAL_NAME	PLOT_NAME	CAS	CHEMSPIDER	HMDB	KEGG	PUBCHEM	PLATFORM
100001275	209	33945	126103	Peptide	Acetylated Peptides	1207	NAMED	UTYVDVLMYQPLQB-UHFFFAOYSA-N	OC(CNC(CC1=CC=CC=C1)=O)=O	phenylacetylglycine	phenylacetylglycine	500-98-1	61452	HMDB0000821	C05598	68144	Neg
100001417	400	35126	156145	Peptide	Acetylated Peptides	1204	NAMED	JFLIEFSWGNOPJJ-JTQLQIEISA-N	O=C(CC1=CC=CC=C1)N[C@@H](CCC(N)=O)C(O)=O	phenylacetylglutamine	phenylacetylglutamine	28047-15-6	270643	HMDB0006344	C04148	92258	Pos Early
100006108	400	48425	157774	Peptide	Acetylated Peptides	1201	NAMED	DZTZJNGATJMDSH-CYBMUJFWSA-N	O=C(CC1=CC=CC=C1)O[C@H](CC([O-])=O)C[N+](C)(C)C	phenylacetylcarnitine	phenylacetylcarnitine	287108-21-8				101724840	Pos Early
100009045	209	52925	166034	Peptide	Acetylated Peptides	1203	NAMED	PTSRBZOZSRJCKX-JTQLQIEISA-N	O=C(N[C@H](C(O)=O)CCC(O)=O)CC1=CC=CC=C1	phenylacetylglutamate	phenylacetylglutamate		9754592	HMDB0059772		11579826	Neg
100009241	209	54736	207593	Peptide	Acetylated Peptides	1211	NAMED	OZQCZEAFOVHVSC-UHFFFAOYSA-N	CSCCC(NC(CC1=CC=CC=C1)=O)C(O)=O	phenylacetylmethionine	phenylacetylmethionine		11427585				Neg
100010850	209	55017	208352	Peptide	Acetylated Peptides	1206	NAMED	NNBITIFYUGRBJL-JTQLQIEISA-N	O=C(N[C@@H](CCC(N)=O)C(O)=O)CC(C=C1)=CC=C1O	4-hydroxyphenylacetylglutamine	4-hydroxyphenylacetylglutamine						Neg
100010899	209	54915	208300	Peptide	Acetylated Peptides	1215	NAMED	ZTAVORUYXADUPD-UHFFFAOYSA-N	O=C(NC(C(C)O)C(O)=O)CC1=CC=CC=C1	phenylacetylthreonine	phenylacetylthreonine		13598066				Neg
100001768	400	36713	156246	Carbohydrate	Advanced Glycation End-product	1453	NAMED	NUXSIDPKKIEIMI-UHFFFAOYSA-N	OC(CNCCCCC(C(O)=O)N)=O	N6-carboxymethyllysine	N6-carboxymethyllysine	5746-04-3	11217184	HMDB0240347		123800	Pos Early
234	400	443	155304	Amino Acid	Alanine and Aspartate Metabolism	36	NAMED	CKLJMWTZIZZHCS-UHFFFAOYSA-N	NC(C(O)=O)CC(O)=O	aspartate	aspartate	56-84-8	5745	HMDB0000191	C00049	5960	Pos Early
811	400	1126	155351	Amino Acid	Alanine and Aspartate Metabolism	29	NAMED	QNAYBMKLOCPYGJ-REOHCLBHSA-N	O=C(O)[C@@H](N)C	alanine	alanine	56-41-7	5735	HMDB0000161	C00041	5950	Pos Early
